"MSSV","Họ tên","CCCD","Ngày sinh","Giới tính","Địa chỉ","SĐT","Email","Lớp","Ngày nhập học","Trạng thái"
"22001236","Vũ Nam Bắc","","15-01-2004","Nam","","0398457123","vunambac_t67@hus.edu.vn","K67A5","","Đang học"
"22001240","Mai Văn Cương","","28-01-2004","Nam","","0382745610","maivancuong_t67@hus.edu.vn","K67A5","","Đang học"
"22001259","Đoàn Vũ Hoàng","","09-02-2004","Nam","","0379124685","doanvuhoang_t67@hus.edu.vn","K67A5","","Đang học"
"22001266","Hoàng Trung Kiên","","29-02-2004","Nam","","0356894127","hoangtrungkien_t67@hus.edu.vn","K67A5","","Đang học"
"22001277","Đặng Trường Nguyên","","14-03-2004","Nam","","0345712398","dangtruongnguyen_t67@hus.edu.vn","K67A5","","Đang học"
"22001565","Mai Hoàng Đức","","27-03-2004","Nam","","0338246715","maihoangduc_t67@hus.edu.vn","K67A3","","Đang học"
"22001570","Trần Xuân Đức","","05-04-2004","Nam","","0327654981","tranxuanduc_t67@hus.edu.vn","K67A3","","Đang học"
"22001590","Nguyễn Văn Hùng","","19-04-2004","Nam","","0912345678","nguyenvanhung_t67@hus.edu.vn","K67A4","","Đang học"
"22001606","Trần Thanh Lâm","","02-05-2004","Nam","","0987654321","tranthanhlam_t67@hus.edu.vn","K67A4","","Đang học"
"22001615","Phạm Đức Mạnh","","21-05-2004","Nam","","0974512368","phamducmanh_t67@hus.edu.vn","K67A4","","Đang học"
"22001628","Nguyễn Văn Ninh","","08-06-2004","Nam","","0968237451","nguyenvanninh_t67@hus.edu.vn","K67A4","","Đang học"
"22001645","Đỗ Thị Trang","","25-06-2004","Nữ","","0946721385","dothitrang_t67@hus.edu.vn","K67A4","","Đang học"
"22001667","Ngô Hải Yến","","11-07-2004","Nữ","","0935812476","ngohaiyen_t67@hus.edu.vn","K67A4","","Đang học"
