"MSSV","HoTen","NgaySinh","GioiTinh","CCCD","Lop","DiaChi","Email","SoDienThoai","TrangThai"
"SV0001","Sinh vien 01","2004-01-18","Nam","001000000001","SH241A","Ha Noi - To dan pho 0001","sv0001@sms.local","0912000001","Dang hoc"
"SV0002","Sinh vien 02","2004-02-04","Nu","001000000002","SH241A","Ha Noi - To dan pho 0002","sv0002@sms.local","0912000002","Dang hoc"
"SV0003","Sinh vien 03","2004-02-21","Nam","001000000003","SH241A","Ha Noi - To dan pho 0003","sv0003@sms.local","0912000003","Dang hoc"
"SV0004","Sinh vien 04","2004-03-09","Nu","001000000004","SH241A","Ha Noi - To dan pho 0004","sv0004@sms.local","0912000004","Dang hoc"
"SV0005","Sinh vien 05","2004-03-26","Nam","001000000005","SH241A","Ha Noi - To dan pho 0005","sv0005@sms.local","0912000005","Dang hoc"
"SV0006","Sinh vien 06","2004-04-12","Nu","001000000006","SH241A","Ha Noi - To dan pho 0006","sv0006@sms.local","0912000006","Dang hoc"
"SV0007","Sinh vien 07","2004-04-29","Nam","001000000007","SH241A","Ha Noi - To dan pho 0007","sv0007@sms.local","0912000007","Dang hoc"
"SV0008","Sinh vien 08","2004-05-16","Nu","001000000008","SH241A","Ha Noi - To dan pho 0008","sv0008@sms.local","0912000008","Dang hoc"
"SV0009","Sinh vien 09","2004-06-02","Nam","001000000009","SH241A","Ha Noi - To dan pho 0009","sv0009@sms.local","0912000009","Dang hoc"
"SV0010","Sinh vien 10","2004-06-19","Nu","001000000010","SH241A","Ha Noi - To dan pho 0010","sv0010@sms.local","0912000010","Dang hoc"
"SV0011","Sinh vien 11","2004-07-06","Nam","001000000011","SH241A","Ha Noi - To dan pho 0011","sv0011@sms.local","0912000011","Dang hoc"
"SV0012","Sinh vien 12","2004-07-23","Nu","001000000012","SH241A","Ha Noi - To dan pho 0012","sv0012@sms.local","0912000012","Dang hoc"
"SV0013","Sinh vien 13","2004-08-09","Nam","001000000013","SH241A","Ha Noi - To dan pho 0013","sv0013@sms.local","0912000013","Dang hoc"
"SV0014","Sinh vien 14","2004-08-26","Nu","001000000014","SH241A","Ha Noi - To dan pho 0014","sv0014@sms.local","0912000014","Dang hoc"
"SV0015","Sinh vien 15","2004-09-12","Nam","001000000015","SH241A","Ha Noi - To dan pho 0015","sv0015@sms.local","0912000015","Dang hoc"
"SV0016","Sinh vien 16","2004-09-29","Nu","001000000016","SH241A","Ha Noi - To dan pho 0016","sv0016@sms.local","0912000016","Dang hoc"
"SV0017","Sinh vien 17","2004-10-16","Nam","001000000017","SH241A","Ha Noi - To dan pho 0017","sv0017@sms.local","0912000017","Dang hoc"
"SV0018","Sinh vien 18","2004-11-02","Nu","001000000018","SH241B","Hai Phong - To dan pho 0018","sv0018@sms.local","0912000018","Dang hoc"
"SV0019","Sinh vien 19","2004-11-19","Nam","001000000019","SH241B","Hai Phong - To dan pho 0019","sv0019@sms.local","0912000019","Dang hoc"
"SV0020","Sinh vien 20","2004-12-06","Nu","001000000020","SH241B","Hai Phong - To dan pho 0020","sv0020@sms.local","0912000020","Dang hoc"
"SV0021","Sinh vien 21","2004-12-23","Nam","001000000021","SH241B","Hai Phong - To dan pho 0021","sv0021@sms.local","0912000021","Dang hoc"
"SV0022","Sinh vien 22","2005-01-09","Nu","001000000022","SH241B","Hai Phong - To dan pho 0022","sv0022@sms.local","0912000022","Dang hoc"
"SV0023","Sinh vien 23","2005-01-26","Nam","001000000023","SH241B","Hai Phong - To dan pho 0023","sv0023@sms.local","0912000023","Dang hoc"
"SV0024","Sinh vien 24","2005-02-12","Nu","001000000024","SH241B","Hai Phong - To dan pho 0024","sv0024@sms.local","0912000024","Dang hoc"
"SV0025","Sinh vien 25","2005-03-01","Nam","001000000025","SH241B","Hai Phong - To dan pho 0025","sv0025@sms.local","0912000025","Dang hoc"
"SV0026","Sinh vien 26","2005-03-18","Nu","001000000026","SH241B","Hai Phong - To dan pho 0026","sv0026@sms.local","0912000026","Dang hoc"
"SV0027","Sinh vien 27","2005-04-04","Nam","001000000027","SH241B","Hai Phong - To dan pho 0027","sv0027@sms.local","0912000027","Dang hoc"
"SV0028","Sinh vien 28","2005-04-21","Nu","001000000028","SH241B","Hai Phong - To dan pho 0028","sv0028@sms.local","0912000028","Dang hoc"
"SV0029","Sinh vien 29","2005-05-08","Nam","001000000029","SH241B","Hai Phong - To dan pho 0029","sv0029@sms.local","0912000029","Dang hoc"
"SV0030","Sinh vien 30","2005-05-25","Nu","001000000030","SH241B","Hai Phong - To dan pho 0030","sv0030@sms.local","0912000030","Dang hoc"
"SV0031","Sinh vien 31","2005-06-11","Nam","001000000031","SH241B","Hai Phong - To dan pho 0031","sv0031@sms.local","0912000031","Dang hoc"
"SV0032","Sinh vien 32","2005-06-28","Nu","001000000032","SH241B","Hai Phong - To dan pho 0032","sv0032@sms.local","0912000032","Dang hoc"
"SV0033","Sinh vien 33","2005-07-15","Nam","001000000033","SH241B","Hai Phong - To dan pho 0033","sv0033@sms.local","0912000033","Dang hoc"
"SV0034","Sinh vien 34","2005-08-01","Nu","001000000034","SH241B","Hai Phong - To dan pho 0034","sv0034@sms.local","0912000034","Dang hoc"
"SV0035","Sinh vien 35","2005-08-18","Nam","001000000035","SH241C","Da Nang - To dan pho 0035","sv0035@sms.local","0912000035","Dang hoc"
"SV0036","Sinh vien 36","2005-09-04","Nu","001000000036","SH241C","Da Nang - To dan pho 0036","sv0036@sms.local","0912000036","Dang hoc"
"SV0037","Sinh vien 37","2005-09-21","Nam","001000000037","SH241C","Da Nang - To dan pho 0037","sv0037@sms.local","0912000037","Dang hoc"
